ID_PARTICIPANTE,TASK_NUMBER,TIME_OF_EVENT,TASK_CLICK_NUMBER,EVENT
8,2,738588.16:12:45.9416868,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
8,2,738588.16:13:00.6795293,4,PersonalInfo/KPIsMain/TitleBar/Buttons/CloseButton
8,3,738588.16:13:04.7021004,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
8,4,738588.16:13:18.3819894,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
8,4,738588.16:13:32.9600661,2,Open: 290
8,4,738588.16:13:46.5827274,3,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
8,4,738588.16:13:59.7173354,4,PersonalInfo/KPIsMain/Buttons/OEEButton
8,4,738588.16:14:15.4619430,5,PersonalInfo/KPIsSpecific/ShiftNumberSlider
8,4,738588.16:14:25.0814854,6,Open: 290
8,5,738588.16:14:29.6519197,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
8,5,738588.16:14:34.7296466,2,PersonalInfo/GeneralStationInfo/TitleBar/Buttons/CloseButtoon
8,5,738588.16:14:55.0905157,3,Open: 260
8,5,738588.16:14:56.4520175,4,PersonalInfo/GeneralStationInfo/Buttons/KPIsButton
8,5,738588.16:14:58.0757005,5,PersonalInfo/KPIsMain/Buttons/PartCountButton
8,5,738588.16:15:08.4766475,6,PersonalInfo/KPIsSpecific/ShiftNumberSlider
8,5,738588.16:15:24.8144377,7,PersonalInfo/KPIsSpecific/TitleBar/Buttons/CloseButton
8,6,738588.16:15:28.1509823,1,HandMenu/LineMonitoringMenu/UsabilityTaskBar/Buttons/CompletedButton
